source,depth_bucket_num,n,wins,mean_kda,median_kda,mean_damage_per_min,mean_cs_per_min,mean_gold_per_min,history_scope,threshold_minutes,session_depth,win_rate,win_rate_ci_low,win_rate_ci_high
KR,4,9811,5293,3.8846342808956775,2.5714285714285716,699.3054694400066,6.033102658959152,412.92090515331375,ranked_420_plus_440,60,4,0.5394964835388849,0.529620097417675,0.5493419523771792
KR,6,4916,2590,3.752258215471222,2.5,699.5201024879615,6.055969775145353,413.49491321070434,ranked_420_plus_440,60,6,0.5268510984540277,0.5128787938999833,0.5407814718239619
EU,2,186530,98114,3.8755715055834186,2.5,727.2577213944578,6.1364359629978535,420.78068222270826,ranked_420_plus_440,60,2,0.5259958183670187,0.5237293267727792,0.5282612392508179
NA,5,6693,3501,3.9338733382706907,2.5,706.2400492208352,6.0761458265510875,415.6782436707136,ranked_420_plus_440,60,5,0.5230838189152847,0.5111081306999525,0.5350330243356058
KR,1,39544,20836,3.961909677507084,2.6,684.9729538726513,5.976746305583461,408.55298510530963,ranked_420_plus_440,60,1,0.5269067367995145,0.5219834217621433,0.5318248246933754
KR,7,3554,1910,3.8802138735890157,2.5,698.7901156522538,6.088071521002708,414.4408065876524,ranked_420_plus_440,60,7,0.5374226223972988,0.5209987317797454,0.5537657013965912
KR,8,11485,6155,3.8898702841634174,2.5714285714285716,700.0308606981841,6.0671412865361,416.0952322266417,ranked_420_plus_440,60,8+,0.5359164127122333,0.5267851984555058,0.5450236086341417
EU,3,117310,61979,3.8413659275986203,2.5,731.552473052751,6.1799897707158085,422.78153085581033,ranked_420_plus_440,60,3,0.5283351802915353,0.5254776816474467,0.5311908232564146
EU,4,78595,41561,3.8302062053180417,2.5,736.5133991139965,6.206556168366922,424.79954870685833,ranked_420_plus_440,60,4,0.5287995419555951,0.5253084316058498,0.5322878371937578
EU,6,39271,20854,3.85247732323869,2.5,739.9242662163653,6.2312173867889245,426.60498076503984,ranked_420_plus_440,60,6,0.5310279850271192,0.5260895415036393,0.535960358877376
NA,7,3438,1821,3.973398798661864,2.5714285714285716,706.7899254957181,6.135103316140657,416.7383159314375,ranked_420_plus_440,60,7,0.5296684118673648,0.5129606142217997,0.5463099833466014
NA,1,43497,22754,3.923358755824579,2.5,704.251014868295,6.040521648565016,411.06062403381327,ranked_420_plus_440,60,1,0.523116536772651,0.5184209107084811,0.5278080801008963
NA,8,11579,6096,3.8798299151415736,2.5,704.3375707297622,6.121283868287977,415.8360062134123,ranked_420_plus_440,60,8+,0.5264703342257535,0.5173686789617703,0.5355544316738484
